id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Underground Blues,Mara Hollis,blues,sad,0.44,85,0.31,0.52,0.74
12,Crown & Glory,Dex Fontaine,hip hop,energetic,0.88,96,0.72,0.91,0.08
13,Porch & Lightning,The Dusty Creeks,country,nostalgic,0.51,104,0.67,0.63,0.81
14,Shatter the Gate,Iron Veil,metal,anxious,0.97,172,0.22,0.58,0.04
15,Moonlit Sonata,Clara Voss,classical,romantic,0.24,66,0.78,0.31,0.97
16,Kingston Morning,Irie Collective,reggae,relaxed,0.55,78,0.80,0.74,0.62
17,Say It Slow,Talia Monroe,r&b,romantic,0.61,92,0.76,0.77,0.41
18,Signal Lost,Grey Static,metal,anxious,0.94,168,0.19,0.61,0.06
19,Golden Hour,Talia Monroe,r&b,chill,0.45,85,0.72,0.71,0.58
20,Slow Motion,Dex Fontaine,r&b,romantic,0.52,88,0.68,0.74,0.45
21,Faded Love,Mara Hollis,r&b,sad,0.38,76,0.29,0.58,0.62
22,Late Nights,Indigo Parade,r&b,chill,0.48,82,0.61,0.69,0.51
23,Soulfire,Neon Echo,r&b,energetic,0.73,98,0.77,0.85,0.22
24,Soft Rain,Paper Lanterns,r&b,melancholic,0.35,72,0.41,0.52,0.71
25,Velvet Nights,Slow Stereo,r&b,romantic,0.58,90,0.80,0.78,0.38